variant,budget_id,opt_steps,goal_H,planner_max_iter,success_rate_mean,success_rate_std,avg_time_mean,avg_time_std,peak_mem_mean,peak_mem_std,model_size_mean,model_size_std,quant_bits_mean,quant_bits_desc,num_runs,success_rate_ci95_lo,success_rate_ci95_hi
encfp16_0,bA,2,9,2,0.1,0.0,41.609873506263824,0.32353292181142523,0.0,0.0,68.12429428100586,0.0,4.0,encoder4_predictor4,2,0.1,0.1
encfp16_100,bA,2,9,2,0.25,0.0707106781186548,42.47265703539597,0.07367708821640451,0.0,0.0,138.84109115600586,0.0,4.0,predictor4,2,0.15199999999999997,0.34800000000000003
encfp16_25,bA,2,9,2,0.05,0.07071067811865477,41.994014745811,0.1284654452651808,0.0,0.0,85.80349349975586,0.0,4.0,encoder4_predictor4,2,0.0,0.14800000000000002
encfp16_50,bA,2,9,2,0.15000000000000002,0.07071067811865477,42.180726214556486,0.07367914485090293,0.0,0.0,103.48269271850586,0.0,4.0,encoder4_predictor4,2,0.052000000000000005,0.24800000000000005
encfp16_75,bA,2,9,2,0.05,0.07071067811865477,42.24680032504257,0.08212778917947575,0.0,0.0,121.16189193725586,0.0,4.0,encoder4_predictor4,2,0.0,0.14800000000000002
fp16,bA,2,9,2,0.5333333333333333,0.057735026918962644,49.66369662362462,0.584800089194167,0.0,0.0,204.9866600036621,0.0,16.0,fp16,3,0.4679999999999999,0.5986666666666667
fp16,bB,3,12,3,0.6500000000000001,0.0707106781186547,124.44846362295793,5.468926294638722,0.0,0.0,204.9866600036621,0.0,16.0,fp16,2,0.5520000000000003,0.748
mixed_int3,bA,2,9,2,0.0,0.0,41.53136320000049,0.012357123625822457,0.0,0.0,136.47390365600586,0.0,3.0,predictor3,3,0.0,0.0
mixed_int4,bA,2,9,2,0.26666666666666666,0.05773502691896262,48.3595483652937,5.0356688590974406,0.0,0.0,138.84109115600586,0.0,4.0,predictor4,3,0.20133333333333325,0.3320000000000001
mixed_int4,bB,3,12,3,0.5,0.1414213562373096,141.4382051354507,9.858144118723754,0.0,0.0,138.84109115600586,0.0,4.0,predictor4,2,0.30399999999999994,0.6960000000000001
mixed_int8,bA,2,9,2,0.5333333333333333,0.057735026918962644,48.293891172188644,3.2933073533165214,0.0,0.0,148.30984115600586,0.0,8.0,predictor8,3,0.4679999999999999,0.5986666666666667
uniform_int3,bA,2,9,2,0.0,0.0,41.10474178052973,0.27332800483766756,0.0,0.0,63.22585678100586,0.0,3.0,encoder3_predictor3,3,0.0,0.0
uniform_int3,bB,3,12,3,0.0,0.0,135.26538139374463,1.8406281343529711,0.0,0.0,63.22585678100586,0.0,3.0,encoder3_predictor3,2,0.0,0.0
uniform_int4,bA,2,9,2,0.06666666666666667,0.05773502691896258,46.53954474860802,0.7644809795449006,0.0,0.0,68.12429428100586,0.0,4.0,encoder4_predictor4,3,0.0013333333333333253,0.132
uniform_int4,bB,3,12,3,0.2,0.0,130.04704070205332,0.7661892091286557,0.0,0.0,68.12429428100586,0.0,4.0,encoder4_predictor4,2,0.2,0.2
uniform_int8,bA,2,9,2,0.5333333333333333,0.057735026918962644,50.441226909736486,0.18476250222953555,0.0,0.0,87.71804428100586,0.0,8.0,encoder8_predictor8,3,0.4679999999999999,0.5986666666666667
