variant,opt_steps,success_rate_mean,success_rate_std,avg_time_mean,avg_time_std,peak_mem_mean,peak_mem_std,model_size_mean,model_size_std,quant_bits_mean,quant_bits_desc,num_runs,success_rate_ci95_lo,success_rate_ci95_hi
fp16,2,0.49999999999999956,0.23570226039551562,54.15028038541398,4.170355031776655,0.0,0.0,204.9866600036621,0.0,16.0,fp16,2,0.17333333333333323,0.8266666666666659
mixed_e4_p3,2,0.0,0.0,56.35182504515008,0.333546359039015,0.0,0.0,65.75710678100586,0.0,-1.0,encoder4_predictor3,2,0.0,0.0
mixed_e8_p3,2,0.0,0.0,54.322517465237375,3.072400128292236,0.0,0.0,75.88210678100586,0.0,-1.0,encoder8_predictor3,2,0.0,0.0
mixed_e8_p4,2,0.08333333333333301,0.11785113019775746,53.45627521874849,4.728914863183791,0.0,0.0,78.24929428100586,0.0,-1.0,encoder8_predictor4,2,0.0,0.2466666666666657
mixed_int3,2,0.0,0.0,53.21433555557935,4.129244241376395,0.0,0.0,136.47390365600586,0.0,3.0,predictor3,2,0.0,0.0
mixed_int4,2,0.16666666666666602,0.0,52.73518350699063,5.060884442847872,0.0,0.0,138.84109115600586,0.0,4.0,predictor4,2,0.16666666666666602,0.16666666666666602
mixed_int8,2,0.49999999999999956,0.23570226039551562,54.46203453817482,1.827058273986815,0.0,0.0,148.30984115600586,0.0,8.0,predictor8,2,0.17333333333333323,0.8266666666666659
uniform_int3,2,0.0,0.0,52.51526463200571,4.5952541265721605,0.0,0.0,63.22585678100586,0.0,3.0,encoder3_predictor3,2,0.0,0.0
uniform_int4,2,0.08333333333333301,0.11785113019775746,54.98586351040285,1.3828673666225817,0.0,0.0,68.12429428100586,0.0,4.0,encoder4_predictor4,2,0.0,0.2466666666666657
uniform_int8,2,0.49999999999999956,0.23570226039551562,55.48553564581864,1.8522115697306263,0.0,0.0,87.71804428100586,0.0,8.0,encoder8_predictor8,2,0.17333333333333323,0.8266666666666659
